0,8,Parent of
0,3,Married
0,7,Parent of
1,2,Married
1,4,Parent of
1,5,Parent of
1,6,Parent of
2,4,Parent of
2,5,Parent of
2,6,Parent of
3,8,Parent of
3,7,Parent of
5,19,Parent of
5,20,Parent of
5,21,Parent of
5,6,Married
5,23,Parent of
5,24,Parent of
5,25,Parent of
5,22,Parent of
5,18,Parent of
6,19,Parent of
6,20,Parent of
6,22,Parent of
6,23,Parent of
6,24,Parent of
6,25,Parent of
6,18,Parent of
6,21,Parent of
7,8,Married
7,9,Parent of
7,10,Parent of
7,11,Parent of
7,12,Parent of
7,13,Parent of
7,14,Parent of
7,15,Parent of
7,16,Parent of
7,17,Parent of
8,9,Parent of
8,10,Parent of
8,11,Parent of
8,12,Parent of
8,13,Parent of
8,14,Parent of
8,15,Parent of
8,16,Parent of
8,17,Parent of
9,22,Married
10,48,Parent of
10,49,Parent of
10,50,Parent of
10,51,Parent of
10,52,Parent of
10,23,Married
11,39,Parent of
11,40,Parent of
11,41,Parent of
11,42,Parent of
11,43,Parent of
11,44,Parent of
11,45,Parent of
11,46,Parent of
11,47,Parent of
11,24,Married
12,35,Parent of
12,36,Parent of
12,37,Parent of
12,38,Parent of
12,25,Married
13,17,Married
13,59,Parent of
13,56,Parent of
13,53,Parent of
13,54,Parent of
13,57,Parent of
13,58,Parent of
13,55,Parent of
13,60,Parent of
14,19,Married
14,61,Parent of
14,62,Parent of
14,63,Parent of
15,16,Married
15,65,Parent of
15,64,Parent of
16,64,Parent of
16,65,Parent of
17,56,Parent of
17,59,Parent of
17,53,Parent of
17,54,Parent of
17,57,Parent of
17,58,Parent of
17,55,Parent of
17,60,Parent of
19,62,Parent of
19,63,Parent of
19,61,Parent of
20,32,Parent of
20,33,Parent of
20,34,Parent of
20,21,Married
20,26,Parent of
20,27,Parent of
20,28,Parent of
20,29,Parent of
20,30,Parent of
20,31,Parent of
21,32,Parent of
21,33,Parent of
21,34,Parent of
21,26,Parent of
21,27,Parent of
21,28,Parent of
21,29,Parent of
21,30,Parent of
21,31,Parent of
23,48,Parent of
23,49,Parent of
23,50,Parent of
23,51,Parent of
23,52,Parent of
24,39,Parent of
24,40,Parent of
24,41,Parent of
24,42,Parent of
24,43,Parent of
24,44,Parent of
24,45,Parent of
24,46,Parent of
24,47,Parent of
25,35,Parent of
25,36,Parent of
25,38,Parent of
25,37,Parent of
26,66,Parent of
26,30,Married
27,105,Parent of
27,39,Married
28,33,Married
29,81,Parent of
29,82,Parent of
29,83,Parent of
29,44,Married
30,66,Parent of
31,120,Parent of
31,121,Parent of
31,122,Parent of
31,123,Parent of
31,45,Married
32,116,Parent of
32,115,Parent of
32,36,Married
32,118,Parent of
32,119,Parent of
32,117,Parent of
34,52,Married
34,109,Parent of
34,110,Parent of
34,111,Parent of
35,97,Parent of
35,98,Parent of
35,99,Parent of
35,100,Parent of
35,101,Parent of
35,102,Parent of
35,103,Parent of
35,46,Married
36,115,Parent of
36,116,Parent of
36,117,Parent of
36,118,Parent of
36,119,Parent of
37,53,Married
37,124,Parent of
38,114,Parent of
38,54,Married
39,105,Parent of
40,88,Parent of
40,91,Parent of
40,87,Parent of
40,89,Parent of
40,42,Married
40,90,Parent of
41,50,Married
41,106,Parent of
41,107,Parent of
41,108,Parent of
42,91,Parent of
42,89,Parent of
42,87,Parent of
42,88,Parent of
42,90,Parent of
43,96,Parent of
43,58,Married
43,92,Parent of
43,93,Parent of
43,94,Parent of
43,95,Parent of
44,81,Parent of
44,82,Parent of
44,83,Parent of
45,120,Parent of
45,123,Parent of
45,121,Parent of
45,122,Parent of
46,99,Parent of
46,97,Parent of
46,98,Parent of
46,100,Parent of
46,101,Parent of
46,102,Parent of
46,103,Parent of
47,128,Parent of
47,49,Married
47,130,Parent of
47,131,Parent of
47,132,Parent of
47,129,Parent of
47,125,Parent of
47,126,Parent of
47,127,Parent of
48,104,Parent of
48,61,Married
49,128,Parent of
49,129,Parent of
49,130,Parent of
49,131,Parent of
49,132,Parent of
49,127,Parent of
49,125,Parent of
49,126,Parent of
50,107,Parent of
50,108,Parent of
50,106,Parent of
51,67,Parent of
51,68,Parent of
51,69,Parent of
51,70,Parent of
51,71,Parent of
51,72,Parent of
51,73,Parent of
51,75,Parent of
51,57,Married
51,74,Parent of
52,109,Parent of
52,110,Parent of
52,111,Parent of
53,124,Parent of
54,114,Parent of
55,60,Married
56,64,Married
56,112,Parent of
56,113,Parent of
57,67,Parent of
57,68,Parent of
57,69,Parent of
57,70,Parent of
57,71,Parent of
57,72,Parent of
57,73,Parent of
57,74,Parent of
57,75,Parent of
58,96,Parent of
58,95,Parent of
58,92,Parent of
58,94,Parent of
58,93,Parent of
59,80,Parent of
59,65,Married
59,79,Parent of
59,76,Parent of
59,78,Parent of
59,77,Parent of
61,104,Parent of
62,84,Parent of
62,85,Parent of
62,86,Parent of
62,63,Married
63,84,Parent of
63,86,Parent of
63,85,Parent of
64,113,Parent of
64,112,Parent of
65,80,Parent of
65,79,Parent of
65,76,Parent of
65,77,Parent of
65,78,Parent of
66,76,Married
66,143,Parent of
66,144,Parent of
66,145,Parent of
66,146,Parent of
66,147,Parent of
66,148,Parent of
66,149,Parent of
66,150,Parent of
66,151,Parent of
67,85,Married
67,201,Parent of
67,202,Parent of
67,203,Parent of
68,225,Parent of
68,226,Parent of
68,227,Parent of
68,228,Parent of
68,73,Married
69,152,Parent of
69,92,Married
70,184,Parent of
70,113,Married
71,256,Parent of
71,105,Married
71,251,Parent of
71,252,Parent of
71,253,Parent of
